Unnamed: 0,Question,A,B,C,D,Answer,Subject,Macrodomain
313,"Tarde da noite, um homem estava voltando para casa do trabalho de segurança de joalheria. Ao se aproximar de um cruzamento de ferrovia, o homem notou que as barreiras do cruzamento estavam abertas. Olhou com atenção para os dois lados à procura de um trem. Presumindo que nenhum trem estivesse vindo, atravessou os trilhos da ferrovia. De repente, um trem em sentido contrário atingiu o carro do homem, destruindo-o completamente. O homem morreu ao chegar ao hospital local. Sem que o homem soubesse, o segurança do cruzamento da ferrovia, em um estado de embriaguez, havia adormecido nos controles da barreira. Ele não conseguiu ver nem ouvir os sinais do trem que se aproximava e que atingiu e matou o homem. A empresa ferroviária estava ciente do alcoolismo do segurança do cruzamento, mas manteve-o empregado. Entretanto, duas semanas após o acidente, a empresa ferroviária demitiu o segurança de cruzamento. O testamenteiro do espólio do homem move uma ação ex delito em face da empresa ferroviária. Durante o julgamento, o advogado do espólio do homem apresentou como prova o fato que a empresa ferroviária ré demitiu o segurança de cruzamento logo após o acidente. Após a impugnação do advogado da empresa ferroviária, o tribunal deve","indeferir a impugnação, pois a demissão do empregado indicou que a empresa ferroviária admitiu que estava ciente do alcoolismo crônico do segurança de cruzamentos.  ","indeferir a impugnação, com base em confissão adotada pela conduta. ","acatar a impugnação, pois o valor probatório da prova teria suplantado seu efeito prejudicial. ","acatar a impugnação, pois a prova de reparações de remediação posterior é inadmissível. ",D,professional_law,"Law, Governance, and Ethics"
209,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu fui pego rindo de um aluno menor de idade no pátio. Cenário 2 | No cinema retirei o meu celular do bolso e comecei a gravar o filme.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,moral_scenarios,"Law, Governance, and Ethics"
809,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | A menina novata queria conselhos sobre maquiagem para a formatura, então, eu mostrei a prateleira de Halloween. Cenário 2 | Eu percebi que o pobre menino não tinha sapatos, então, eu comprei para ele um Belo par de meias..","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",B,moral_scenarios,"Law, Governance, and Ethics"
282,"Na República, Trasímaco alega que a justiça é:",dizer a verdade e pagar suas dívidas.,fazer o que agrada os deuses.,a vantagem do mais forte.,a harmonia da alma.,C,philosophy,"Law, Governance, and Ethics"
55,A teoria jurídica normativa é resumida com mais exatidão por qual das seguintes afirmações?,Sua principal preocupação é com valores morais ou políticos.,É representada pela visão positivista do direito desenvolvida por HLA Hart.,Expressa a ideia de que o direito consiste apenas em normas.,Preocupa-se com a análise da aplicação da legislação às questões morais.,A,jurisprudence,"Law, Governance, and Ethics"
1118,"Uma lei municipal proíbe lavar veículos nas ruas da cidade. Um homem lavava seu carro enquanto estava estacionado na rua na frente de sua residência. A água formou uma poça na rua, que ficou congelada durante a noite. Na manhã seguinte, um carro que passava na rua deslizou no gelo e atingiu uma árvore. Se o motorista processar o homem e afirmar que o homem foi negligente, quais os seguintes fatos adicionais ajudariam mais o homem?",o homem não sabia da lei.,a câmara de vereadores promulgou a lei depois que alguém que lavava o caro foi atropelado por um caminhão que passava na rua.,o motorista mora na vizinhança do homem e viu o homem lavando o seu carro antes do acidente.,o motorista não é um residente da cidade.,B,professional_law,"Law, Governance, and Ethics"
113,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Tentei atropelar um animal que corria pela estrada, não quis desviar mas eu não o peguei. Cenário 2 | Resolvi fazer um dique no rio mais acima que afetaria muitas terras agrícolas.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",A,moral_scenarios,"Law, Governance, and Ethics"
966,"Quinze anos atrás, dois homens que eram amigos de pesca se mudaram para uma terra rural desocupada de propriedade de uma mulher que eles não conheciam e construíram uma pequena cabana de pesca nela. Doze anos atrás, os homens substituíram a cabana por uma fábrica de processamento de peixes e um cais para barcos de pesca comercial. Os homens mantiveram sua operação de pesca comercial na terra até que um deles morreu sem deixar testamento no ano passado, deixando um único herdeiro. O tempo para adquirir o título por usucapião na jurisdição é de 10 anos. A mulher agora tomou conhecimento das mudanças que ocorreram na terra. Em uma ação para determinar a titularidade, o tribunal deve decidir a favor de quem?","Para o homem que ainda está vivo e o herdeiro do falecido, porque os homens adquiriram a titularidade como inquilinos em comum.","Para o homem que ainda está vivo, porque ele é o detentor adverso sobrevivente.","Para a mulher, porque o uso da terra foi alterado pelos homens enquanto eles estavam na posse.","Para a mulher, porque a titularidade não pode ser reivindicada por dois detentores adversos simultaneamente.",A,professional_law,"Law, Governance, and Ethics"
618,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu matei o gatinho na minha cama. Cenário 2 | Eu ri do palhaço malabarista.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",B,moral_scenarios,"Law, Governance, and Ethics"
790,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Minha irmã bebê queria um pouco do sorvete, e eu disse para ela sair fora. Cenário 2 | Como senhorio, tenho alguns inquilinos idosos que precisam ser substituídos por novos, porque eles estão frágeis.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",A,moral_scenarios,"Law, Governance, and Ethics"
