subject,question,A,B,C,D,correct,out_chat_long,out_extracted_chat_long,out_chat_short,out_seqlogprob
professional_law,"Uma colecionadora comprava e vendia regularmente moedas. Um dia, ela viu um anúncio em uma revista de colecionadores de moedas oferecendo uma rara moeda de 1898 por US$ 10.000. Ela entrou em contato imediatamente com o vendedor e perguntou sobre a qualidade da moeda. O vendedor garantiu que a moeda estava em perfeitas condições. A colecionadora concordou em efetuar a compra da moeda por US$ 10.000. O contrato estipulava que a entrega seria F.O.B sob responsabilidade da colecionadora, com pagamento a ser feito uma semana após a entrega. O vendedor declarou que a moeda seria enviada no fim da semana. Quando a colecionadora recebeu a moeda, ela percebeu que tinha um grande arranhão na face da moeda. Mesmo assim, a colecionadora aceitou a entrega. Duas semanas mais tarde, a colecionadora vendeu a moeda para outro colecionador por US$ 12.000. O colecionador se recusou a efetuar o pagamento para a vendedora. A vendedora ajuizou uma ação de quebra de contrato contra o colecionador, que, por sua vez, ajuizou uma contra ação contra a vendedora. Quem tem maior probabilidade de ganhar e em que quantidade?","O colecionador deve receber uma indenização nominal, porque a moeda foi recebida com danos.","Nenhuma das partes deve ganhar, porque o risco de perda era do vendedor, mas a colecionadora não teve prejuízo, pois vendeu a moeda com lucro.","O vendedor deve receber US$ 10.000, porque o colecionador aceitou a entrega da moeda.","O vendedor deve receber US$ 12.000, porque a revenda da colecionadora constituiu uma conversão.",C,"A) O colecionador deve receber uma indenização nominal, porque a moeda foi recebida com danos.

**Explicação:**

O contrato estabeleceu",A,A,A
professional_law,"Há uma lei estadual que considera crime “relatar falsamente um incêndio intencionalmente ou por imprudência”. “Três colegas de quarto da faculdade moravam juntos em um pequeno apartamento, sendo que dois deles resolveram fazer uma brincadeira com o outro colega de quarto. Eles gostavam de fazer isso de vez em quando, pois achavam o tal colega ingênuo. Os dois colegas de quarto estavam sentados na sala de estar do apartamento, e o outro colega de quarto estava em um cômodo ao lado, de onde conseguir ouvir a voz dos dois colegas. Sabendo que o colega de quarto poderia ouvir a conversa, os dois colegas de quarto comunicaram falsamente um incêndio no centro estudantil da faculdade. Após ouvir a conversa, o outro colega de quarto telefonou para o corpo de bombeiros e comunicou essa informação. Vários caminhões de bombeiros foram enviados à faculdade e constataram que a informação era falsa. Se os dois colegas de quarto forem processados por violação da lei mencionada acima, eles deverão ser julgados","culpados, por terem feito uma denúncia falsa.","culpados, por serem cúmplices do colega de quarto.","inocentes, porque não foram eles que comunicaram as informações ao corpo de bombeiros.","inocentes, pois não acreditavam conscientemente que  o colega de quarto comunicaria as informações ao corpo de bombeiros.",A,A,A,A,A
business_ethics,"As empresas têm ____________ na sociedade e podem dar _______________ à sociedade, enquanto ______________ pode causar danos enormes a indivíduos, comunidades e ao ambiente.","Pouco poder, Pequena contribuição, Malversação comercial","Pouco poder, Grande contribuição, Responsabilidade social corporativa","Grande poder, Pequena contribuição, Responsabilidade social corporativa","Grande poder, Grande contribuição, Malversação comercial",D,B,B,B,B
professional_law,"Um devedor devia a um credor US$ 15 mil por uma dívida que havia sido cancelada pela falência do devedor no ano anterior. O devedor escreveu uma carta ao credor declarando que pagaria ao credor US$ 10 mil recebidos dos rendimentos da venda de sua casa como pagamento da dívida cancelada. Uma semana depois, o devedor soube que a pessoa que havia contratado a compra de sua casa havia descumprido o acordo. Como resultado, o devedor recusou-se a pagar qualquer coisa ao credor. Se o credor processar o devedor por quebra de contrato, terá o direito de recuperar",nada.,US$ 10 mil,"US$ 10 mil, somente se o devedor conseguir processar a pessoa que contratou a compra de sua casa.",US$ 15 mil.,B,"C) US$ 10 mil, somente se o devedor conseguir processar a pessoa que contratou a compra de sua casa.",C,C,C
logical_fallacies,Qual opção abaixo descreve a falácia do apelo à lealdade?,argumentar que alguém deve fazer algo porque se tornará mais querido pelos outros,responder a um argumento com expressão de desprezo,argumentar que uma ideia deve ser aceita apenas por causa de quem originou a ideia,argumentar que alguém deve fazer algo para ser leal a uma pessoa ou a um grupo,D,C,C,C,C
professional_law,"Uma tarde, policiais viram um homem e uma menina de 14 anos fumando maconha juntos. Eles prenderam o homem e o acusaram de crimes separados de (1) posse de substância perigosa controlada e (2) contribuição para a delinquência de um menor. A menina também foi presa e acusada de ser cúmplice do crime de contribuição para a delinquência de um menor. Em juízo, a melhor defesa da menina é que",fumar maconha não a torna necessariamente cúmplice do crime.,"o homem, o adulto principal, deve ser condenado antes que qualquer processo possa ser instaurado um processo contra um menor.",um menor não pode ser processado por um crime adulto.,"como a lei foi concebida para proteger os menores, a menina não pode ser processada como cúmplice.",D,A,A,A,A
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Joguei os jornais no incêndio florestal. Cenário 2 | Pedi aos meus filhos que preparassem a mesa para o jantar.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",B,"C) Não é errado, Errado",C,C,C
moral_disputes,"De acordo com a teoria moral de Aquino, a moralidade está, em última instância, baseada em",acordos feitos entre indivíduos.,prazer e ausência de dor.,fatos sobre a natureza humana.,virtude.,C,C) fatos sobre a natureza humana.,C,C,C
professional_law,"Um proprietário de casa colocou sua casa à venda com uma corretora de imóveis. O contrato de exclusividade de seis meses para venda previa o pagamento de uma comissão se a casa fosse vendida. De acordo com o contrato de corretagem, a corretora prontamente tomou passos razoáveis para comercializar a casa, incorrendo em despesas por seus esforços. Cinco meses após o período do contrato, sem envolver a corretora, o proprietário aceitou uma oferta para a compra de seu primo. A corretora soube do contrato apenas quando a venda da casa ao primo foi fechada, um mês depois do período do contrato ter expirado. A corretora tem direito a receber qualquer pagamento?","Não, pois a corretora não se envolveu em negociações com o primo.","Não, pois o período do fechamento ocorreu depois que o contrato de corretagem expirou.","Sim, mas somente reembolso de suas despesas.","Sim, a comissão integral, porque a aceitação pelo proprietário da oferta de compra do primo ocorreu durante o período do contrato.",D,D,D,C,C
professional_law,"Em alguns casos, é possível fazer uma prisão sem mandado. Qual das seguintes opções não é um desses casos?","Ocorreu uma contravenção penal, e um policial deve ter convicção de que a pessoa que ele prendeu a tenha cometido.",Um policial deve ter indícios suficientes de autoria e de materialidade de que ocorreu um crime e de que a pessoa presa o tenha cometido.,Um policial pode efetuar prisão por um crime cometido em sua presença.,Um policial pode efetuar prisão por uma contravenção penal de perturbação do sossego cometida em sua presença.,A,A,A,D,B
professional_law,"A dona de um pet shop abriu uma loja em uma nova cidade. Ela não sabia que a Câmara Municipal havia recentemente aprovado uma lei proibindo a venda de cães e gatos em pet shops. A lei continha uma disposição que permitia que o pet shop cedesse espaço para uma sociedade humanitária sem fins lucrativos adotar animais do pet shop. A proprietária processou a cidade no tribunal federal, alegando violação do devido processo e proteção igualitária nos termos da Décima Quarta Emenda. O tribunal utilizou o teste da base racional para concluir que a lei servia a um interesse legítimo do estado e era exequível. A dona do pet shop recorreu da decisão. O tribunal de apelação confirmará a decisão do tribunal de primeira instância?","Sim, pois a dona do pet shop não foi tratada de forma diferente de qualquer outro dono de pet shop.","Sim, pois o teste correto exige apenas que a lei em questão satisfaça qualquer conjunto de fatos que possam estabelecer uma base racional para alcançar fins governamentais legítimos.","Não, a dona do pet shop tem o direito constitucional adquirido de ganhar a vida e isso é injustificadamente excluído pela lei em questão.","Não, pois trata-se de um decreto tão invejosamente discriminatório que necessitaria passar por um rigoroso teste de escrutínio, o que não consegue fazer.",B,"C) Não, a dona do pet shop tem o direito constitucional adquirido de ganhar a vida e isso é injustificadamente excluído pela lei em questão.",C,C,C
professional_law,"Um estado promulgou recentemente uma lei segundo a qual os estrangeiros estão proibidos de ter a propriedade de qualquer imóvel comercial dentro do estado. Após a lei, um estrangeiro legalmente residente celebra um contrato com outro estrangeiro legalmente residente para comprar o prédio de escritórios deste último. Suponha que ambos os estrangeiros residentes participem de uma ação declaratória para testar a validade da lei estadual na justiça federal. O tribunal deve decidir que",cabe ao Estado o ônus da prova para demonstrar que existe um interesse público do Estado em apoiar a lei.,cabe ao Estado o ônus da prova que recai sobre os estrangeiros residentes para demonstrar que não existe interesse público do Estado para apoiar a lei.,os estrangeiros residentes não têm legitimidade.,"qualquer um dos estrangeiros residentes tem legitimidade, mas não ambos.",A,B,B,B,B
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu ri das palhaçadas dos pacientes deficientes mentais atrás das barras. Cenário 2 | Eu quis cumprimentar todo mundo menos o homem negro.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",A,C) Não é errado,C,C,C
professional_law,"Um estado promulgou uma lei que impõe um imposto sobre a extração de toda a platina no estado. A extração de outros minerais não é tributada pelo estado. Isto é verdade apesar de existir uma mineração considerável de prata, turquesa, enxofre e pedra no estado. Como resultado, a maior mineradora de platina do estado entrou com uma ação arguir a inconstitucionalidade da lei de taxação da extração de platina no estado. Qual das alternativas a seguir expressa melhor o ônus da persuasão se a mineradora atacar a lei por violar a proteção igualitária das leis?",O estado deve convencer o tribunal de que a classificação constante da lei está racionalmente relacionada com a promoção de interesse público estadual.,O estado deve convencer o tribunal de que a classificação nesta lei é o meio menos restritivo para promover um interesse público estadual.,A mineradora deve convencer o tribunal de que a classificação nesta lei não é necessária para promover um interesse público estadual.,A mineradora deve convencer o tribunal de que a classificação nesta lei não está racionalmente relacionada com a promoção de um interesse legítimo do estado.,D,B,B,B,B
